Geography,Total; Estimate; Total population
"South Colonie Central School District, New York",39130
"South Glens Falls Central School District, New York",19917
"South Huntington Union Free School District, New York",39136
"South Kortright Central School District, New York",2580
"South Lewis Central School District, New York",7076
"South Orangetown Central School District, New York",21564
"Southampton Union Free School District, New York",9918
"Southern Cayuga Central School District, New York",6342
"Southold Union Free School District, New York",6714
"Southwestern Central School District at Jamestown, New York",9541
"Spencer-Van Etten Central School District, New York",6310
"Spencerport Central School District, New York",24423
"East Ramapo Central School District (Spring Valley), New York",119821
"Springs Union Free School District, New York",6958
"Brasher Falls Central School District, New York",4994
"St. Regis Falls Central School District, New York",2096
"Stamford Central School District, New York",3276
"Starpoint Central School District, New York",19176
"Stillwater Central School District, New York",7496
"Stockbridge Valley Central School District, New York",2878
"Three Village Central School District, New York",45708
"Ramapo Central School District (Suffern), New York",28734
"Susquehanna Valley Central School District, New York",10294
"Sweet Home Central School District, New York",36557
"Syosset Central School District, New York",34149
"Syracuse City School District, New York",144350
"Taconic Hills Central School District, New York",11686
"Union Free School District of the Tarrytowns, New York",19687
"Ticonderoga Central School District, New York",5725
"Tioga Central School District, New York",6261
"Tonawanda City School District, New York",14991
"Town of Webb Union Free School District, New York",1881
"Tri-Valley Central School District, New York",5672
"Troy City School District, New York",40276
"Trumansburg Central School District, New York",7628
"Tuckahoe Union Free School District, New York",8238
"Tuckahoe Common School District, New York",3452
"Tully Central School District, New York",5756
"Tupper Lake Central School District, New York",6195
"Tuxedo Union Free School District, New York",2733
"Otego-Unadilla Central School District, New York",6589
"Union Springs Central School District, New York",6070
"Uniondale Union Free School District, New York",43754
"Utica City School District, New York",61337
"Valhalla Union Free School District, New York",10056
"Vestal Central School District, New York",32071
"Victor Central School District, New York",24250
"Voorheesville Central School District, New York",7540
"Wainscott Common School District, New York",600
"Wallkill Central School District, New York",20620
"Walton Central School District, New York",6513
"Wantagh Union Free School District, New York",17249
"Wappingers Central School District, New York",73883
"Warrensburg Central School District, New York",6083
"Warsaw Central School District, New York",6322
"Warwick Valley Central School District, New York",23395
"Washingtonville Central School District, New York",23473
"Waterford-Halfmoon Union Free School District, New York",5539
"Watertown City School District, New York",31395
"Waterville Central School District, New York",5870
"Watervliet City School District, New York",11188
"Watkins Glen Central School District, New York",8289
"Waverly Central School District, New York",9439
"Wayne Central School District, New York",14712
"Webster Central School District, New York",57134
"Northeast Central School District, New York",6587
"Weedsport Central School District, New York",5403
"Wells Central School District, New York",1500
"Wellsville Central School District, New York",9135
"West Babylon Union Free School District, New York",28960
"West Canada Valley Central School District, New York",4941
"West Genesee Central School District, New York",31547
"West Hempstead Union Free School District, New York",17582
"West Islip Union Free School District, New York",26983
"West Seneca Central School District, New York",54355
"West Valley Central School District, New York",2321
"Mount Markham Central School District, New York",6740
